schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction,cost_query_fraction,cost_accuracy_gap,cost_coverage_gap,cost_class_shift,score_balanced,score_min_queries,score_accuracy_first,score_coverage_first,score_distribution_first
mod30,deterministic_mod30,-1,0.05,15,0.013404825737265416,0.0040821289999257715,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783,1.0,0.013404825737265416,0.0,0.0,0.4212733511246664,0.06654220910301631,0.04949998926796262,0.044138058973056456,0.044138058973056456,0.17052006431045638
mod30,deterministic_mod30,-1,0.1,30,0.02680965147453083,0.004179241999963779,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397,1.0,0.02680965147453083,0.0,0.0,0.20796797560045743,0.03789760920870132,0.035542105871037705,0.02481824528122537,0.02481824528122537,0.0872086379613626
mod30,deterministic_mod30,-1,0.15,45,0.040214477211796246,0.004257982999888554,0.9111111111111111,0.9158549783549783,0.17706285373845698,1.2691307337051199,1.1800644040725692,1.0,0.040214477211796246,0.0,0.0,0.1888422925403482,0.03837996318400129,0.04100219172052276,0.02491640083580426,0.02491640083580426,0.08156908859790873
mod30,deterministic_mod30,-1,0.2,60,0.05361930294906166,0.0022593509997932415,0.9333333333333333,0.9395833333333333,0.2545129579982127,1.3730705595280122,1.2568556039032703,1.0,0.05361930294906166,0.0,0.0,0.27144491040792984,0.05412156229845489,0.05663510766277691,0.035187386483152235,0.035187386483152235,0.1166208596055312
mod30,deterministic_mod30,-1,0.25,75,0.06702412868632708,0.0022175500000685133,0.92,0.9197670521199933,0.2545129579982127,1.3886041892483425,1.2287212294093104,1.0,0.06702412868632708,0.0,0.0,0.27144491040792984,0.05747276873277124,0.06400776181827289,0.03719811034374205,0.03719811034374205,0.11863158346612102
mod30,deterministic_mod30,-1,0.3,90,0.08042895442359249,0.0020823579998250352,0.9,0.9045283663704716,0.2545129579982127,1.306455926286699,1.1147288898983798,1.0,0.08042895442359249,0.0,0.0,0.27144491040792984,0.060823975167087596,0.07138041597376886,0.03920883420433186,0.03920883420433186,0.12064230732671082
mod30,deterministic_mod30,-1,0.35,105,0.0938337801608579,0.0021826429999691754,0.9047619047619048,0.9115649701176017,0.1947657347121154,1.338146693504461,1.1231080811215108,1.0,0.0938337801608579,0.0,0.0,0.20772289091008111,0.05461687867672664,0.07238086817947996,0.0348473561151368,0.0348473561151368,0.09716422338816114
mod30,deterministic_mod30,-1,0.39999999999999997,120,0.10723860589812333,0.002257432999840603,0.9083333333333333,0.9121041921041921,0.17117962466487935,1.3969021879904486,1.2088688806130432,1.0,0.10723860589812333,0.0,0.0,0.18256767060617612,0.05419480206545725,0.07723800030458544,0.03434255794533611,0.03434255794533611,0.08911285912718894
mod30,deterministic_mod30,-1,0.44999999999999996,135,0.12064343163538874,0.002673871000069994,0.9111111111111111,0.9138332715362748,0.150809254294509,1.4019208246268533,1.2287212294093104,1.0,0.12064343163538874,0.0,0.0,0.1608421230990808,0.054287176373709306,0.0824380997093719,0.034180727055216395,0.034180727055216395,0.08243336398494064
mod30,deterministic_mod30,-1,0.49999999999999994,149,0.13315460232350312,0.0026716110000961635,0.912751677852349,0.9163950829045169,0.18236560687574593,1.4009487345657117,1.2287212294093104,1.0,0.13315460232350312,0.0,0.0,0.19449782128665621,0.062463323773874216,0.09268481340659235,0.03942297247719109,0.03942297247719109,0.09777231886318796
mod30,deterministic_mod30,-1,0.5499999999999999,164,0.14655942806076855,0.0025463499998750194,0.9207317073170732,0.9242805781056056,0.16607816212210377,1.407210856069488,1.2382444230860443,1.0,0.14655942806076855,0.0,0.0,0.17712682368912896,0.06320888056856148,0.0983203678023356,0.03969659657802818,0.03969659657802818,0.09283464368476688
mod30,deterministic_mod30,-1,0.6,179,0.15996425379803395,0.002395884000179649,0.9217877094972067,0.923591999398451,0.16369364107018938,1.403850850722333,1.2287212294093104,1.0,0.15996425379803395,0.0,0.0,0.17458366789700905,0.06617861363405984,0.10543870637861959,0.04145300485940599,0.04145300485940599,0.0938281052285087
mod30,deterministic_mod30,-1,0.65,194,0.17336907953529937,0.00240620299996408,0.9226804123711341,0.9242930004186807,0.14105930368609673,1.392985235667572,1.2192604129010087,1.0,0.17336907953529937,0.0,0.0,0.15044353871973146,0.06590880069178456,0.11039734761638781,0.04104971580226805,0.04104971580226805,0.08618277741818749
mod30,deterministic_mod30,-1,0.7,209,0.1867739052725648,0.0025110740000400256,0.9186602870813397,0.9185518673872711,0.14542204890730362,1.4042848716483056,1.2477676167627783,1.0,0.1867739052725648,0.0,0.0,0.15509652375836136,0.0699579548818954,0.11823530027574679,0.043525738166720854,0.043525738166720854,0.09005469529422927
mod30,deterministic_mod30,-1,0.75,224,0.20017873100983022,0.002391236999983448,0.9196428571428571,0.9189151978739771,0.1495276394740202,1.3912404335605582,1.2568556039032703,1.0,0.20017873100983022,0.0,0.0,0.159475246446272,0.07396596971939835,0.12604582670003384,0.04597433429610173,0.04597433429610173,0.09381690822998333
mod30,deterministic_mod30,-1,0.7999999999999999,239,0.21358355674709562,0.0025224870000783994,0.9163179916317992,0.916239134542706,0.14041227784819826,1.4234352738852307,1.2659435910437624,1.0,0.21358355674709562,0.0,0.0,0.14975346827309746,0.07585890942773853,0.13244630303821234,0.04701288033937409,0.04701288033937409,0.09193892082130334
mod30,deterministic_mod30,-1,0.85,254,0.22698838248436104,0.0025473890000284882,0.9094488188976378,0.9086285840596185,0.1323735337372373,1.395881210257398,1.2262191342856485,1.0,0.22698838248436104,0.0,0.0,0.14117993161643969,0.07792408536355622,0.13896160352804254,0.04816625053429813,0.04816625053429813,0.09052023001923004
mod30,deterministic_mod30,-1,0.9,269,0.24039320822162646,0.0024934509999638976,0.9070631970260223,0.9049245403138224,0.11036141536355812,1.4038423359702124,1.2477676167627783,1.0,0.24039320822162646,0.0,0.0,0.11770341573753482,0.07775381441603683,0.14398660609564803,0.04782932280699745,0.04782932280699745,0.0831403475282579
mod30,deterministic_mod30,-1,0.95,284,0.2537980339588919,0.0025959649999549583,0.9084507042253521,0.9071297647102832,0.10475902780400007,1.3916902017255046,1.2284868443670198,1.0,0.2537980339588919,0.0,0.0,0.11172831882641637,0.08020875631368543,0.1507617505600322,0.04924253697647542,0.04924253697647542,0.08276103262440034
mod30,deterministic_mod30,-1,1.0,298,0.26630920464700625,0.002586020999842731,0.9060402684563759,0.9031874039938557,0.09511728472809494,1.3942796218388789,1.2382444230860443,1.0,0.26630920464700625,0.0,0.0,0.10144514068884697,0.08179407226507861,0.15661457662473816,0.05009089476593563,0.05009089476593563,0.08052443697258972
global_low_conf,global_low_confidence,-1,0.05,15,0.013404825737265416,0.0021819599999162165,0.4666666666666667,0.29166666666666663,0.6545129579982127,0.026458975726096297,0.02679496605225684,0.625,0.013404825737265416,0.6698079417183619,0.375,0.6980556614563477,0.4362423352541952,0.28213020573072123,0.5299510550372417,0.426768275435815,0.5236849738727194
global_low_conf,global_low_confidence,-1,0.1,30,0.02680965147453083,0.0021062050000182353,0.5333333333333333,0.4107142857142857,0.7878462913315462,0.048686443222601364,0.05909826552100517,0.75,0.02680965147453083,0.5350356730319789,0.25,0.8402592451391537,0.3825037852006984,0.25753015108290206,0.4465687760542823,0.3468062904930897,0.5238840640348359
global_low_conf,global_low_confidence,-1,0.15,45,0.040214477211796246,0.001979204999997819,0.4666666666666667,0.39583333333333326,0.7434018468871015,0.06379913808784946,0.07292054167339485,0.75,0.040214477211796246,0.5518822066177769,0.25,0.7928580505782182,0.38464109920590367,0.264374319178754,0.4539473006102574,0.3482885282940355,0.511145943467501
global_low_conf,global_low_confidence,-1,0.2,60,0.05361930294906166,0.0019499699999414588,0.4,0.3557692307692308,0.7211796246648795,0.07823861667872496,0.08181061710775031,0.75,0.05361930294906166,0.5972382585795402,0.25,0.7691574532977508,0.40031183423476707,0.280715926596644,0.4808015959198584,0.35926820541701937,0.5150154414063446
global_low_conf,global_low_confidence,-1,0.25,75,0.06702412868632708,0.0019236210000599385,0.38666666666666666,0.3777610878903982,0.547846291331546,0.08844436947616664,0.09354124511130268,0.75,0.06702412868632708,0.5723415617740295,0.25,0.584292794510103,0.3672194979690075,0.26337794067199755,0.44938783581837705,0.33656828919746673,0.43685612755049763
global_low_conf,global_low_confidence,-1,0.3,90,0.08042895442359249,0.0019417690000409493,0.35555555555555557,0.3627880184331797,0.5211796246648794,0.09524820467446111,0.10655755508450757,0.875,0.08042895442359249,0.5892923799095936,0.125,0.5558520777735418,0.3409873832402871,0.2596442276877285,0.4399749788866492,0.27747264591829146,0.406728269250354
global_low_conf,global_low_confidence,-1,0.35,105,0.0938337801608579,0.0019468850000521343,0.3333333333333333,0.34239214999805495,0.4640367675220223,0.10080183563863074,0.12166141706640188,1.0,0.0938337801608579,0.612382278580572,0.0,0.49490768476662494,0.3120283952584084,0.25419491721027737,0.43099520264913443,0.2166614051459342,0.3651337105759217
global_low_conf,global_low_confidence,-1,0.39999999999999997,120,0.10723860589812333,0.0020578189999014285,0.35,0.3586762768348446,0.38784629133154597,0.11015097752530552,0.12926738066593346,1.0,0.10723860589812333,0.593947229354656,0.0,0.41364849409073573,0.29673845586227077,0.24883288999170544,0.4138189779065857,0.20593744763245608,0.3300319958596768
global_low_conf,global_low_confidence,-1,0.44999999999999996,135,0.12064343163538874,0.002041486000052828,0.3851851851851852,0.4090278251768935,0.3582166617019164,0.12236119174029259,0.12926738066593346,1.0,0.12064343163538874,0.5369448931784438,0.0,0.38204769771677893,0.27539872517881936,0.23879488046575267,0.37846822042405254,0.19053750781159715,0.30515181712663086
global_low_conf,global_low_confidence,-1,0.49999999999999994,149,0.13315460232350312,0.002015930000197841,0.40939597315436244,0.440500338066261,0.30283510564921945,0.13455570365786657,0.12926738066593346,1.0,0.13315460232350312,0.5013152686862075,0.0,0.3229817796621012,0.25719626157036357,0.23086202641568873,0.35306052952646,0.17760018548628745,0.27449471938491776
global_low_conf,global_low_confidence,-1,0.5499999999999999,164,0.14655942806076855,0.001975171000140108,0.43902439024390244,0.466291597602958,0.27402515312016396,0.14722654470089644,0.12926738066593346,1.0,0.14655942806076855,0.4721173175818717,0.0,0.2922551909468771,0.24571919681087878,0.22786253392357833,0.33447982385292596,0.1692387626992709,0.25691531998333406
global_low_conf,global_low_confidence,-1,0.6,179,0.15996425379803395,0.00196572599998035,0.4748603351955307,0.4980309280783274,0.22769731554011213,0.16026542634415464,0.12926738066593346,1.0,0.15996425379803395,0.4361856323539517,0.0,0.24284530698568954,0.22908283082124498,0.22131127837597556,0.30999054818064503,0.15732557685676196,0.23017916895246882
