weight_set,best_schedule_name,best_schedule_type,best_trial,best_score,fraction_of_all_queries,n_eval,balanced_accuracy,accuracy,lane_coverage_fraction,class_balance_l1_shift,mean_confidence,pareto_efficient
balanced,random_matched,random_matched,2,0.01925411219596333,0.05361930294906166,60,0.8802884615384615,0.8833333333333333,1.0,0.0290437890974084,1.2068300593313788,True
min_queries,random_matched,random_matched,2,0.030378224253246107,0.040214477211796246,45,0.8920454545454546,0.8888888888888888,1.0,0.07745010425975576,1.195028155853642,True
accuracy_first,random_matched,random_matched,2,0.013202589390073183,0.05361930294906166,60,0.8802884615384615,0.8833333333333333,1.0,0.0290437890974084,1.2068300593313788,True
coverage_first,random_matched,random_matched,2,0.011999700186426737,0.05361930294906166,60,0.8802884615384615,0.8833333333333333,1.0,0.0290437890974084,1.2068300593313788,True
distribution_first,random_matched,random_matched,2,0.021292494696529673,0.05361930294906166,60,0.8802884615384615,0.8833333333333333,1.0,0.0290437890974084,1.2068300593313788,True
