schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence
mod30,deterministic,-1,0.05,15,0.013404825737265416,0.004618135999976403,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783
mod30,deterministic,-1,0.1,30,0.02680965147453083,0.002295800999945641,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397
mod30,deterministic,-1,0.15,45,0.040214477211796246,0.002110260999984348,0.9111111111111111,0.9158549783549783,0.17706285373845698,1.2691307337051199,1.1800644040725692
mod30,deterministic,-1,0.2,60,0.05361930294906166,0.0020617249999759224,0.9333333333333333,0.9395833333333333,0.2545129579982127,1.3730705595280122,1.2568556039032703
mod30,deterministic,-1,0.25,75,0.06702412868632708,0.0018701150000879352,0.92,0.9197670521199933,0.2545129579982127,1.3886041892483425,1.2287212294093104
mod30,deterministic,-1,0.3,90,0.08042895442359249,0.001886586999944484,0.9,0.9045283663704716,0.2545129579982127,1.306455926286699,1.1147288898983798
mod30,deterministic,-1,0.35,105,0.0938337801608579,0.0019385529999453865,0.9047619047619048,0.9115649701176017,0.1947657347121154,1.338146693504461,1.1231080811215108
mod30,deterministic,-1,0.39999999999999997,120,0.10723860589812333,0.0018799480000097901,0.9083333333333333,0.9121041921041921,0.17117962466487935,1.3969021879904486,1.2088688806130432
mod30,deterministic,-1,0.44999999999999996,135,0.12064343163538874,0.0019524399999681918,0.9111111111111111,0.9138332715362748,0.150809254294509,1.4019208246268533,1.2287212294093104
mod30,deterministic,-1,0.49999999999999994,149,0.13315460232350312,0.0027717749999283114,0.912751677852349,0.9163950829045169,0.18236560687574593,1.4009487345657117,1.2287212294093104
mod30,deterministic,-1,0.5499999999999999,164,0.14655942806076855,0.002643712000008236,0.9207317073170732,0.9242805781056056,0.16607816212210377,1.407210856069488,1.2382444230860443
mod30,deterministic,-1,0.6,179,0.15996425379803395,0.0025080609999577064,0.9217877094972067,0.923591999398451,0.16369364107018938,1.403850850722333,1.2287212294093104
mod30,deterministic,-1,0.65,194,0.17336907953529937,0.002516186000093512,0.9226804123711341,0.9242930004186807,0.14105930368609673,1.392985235667572,1.2192604129010087
mod30,deterministic,-1,0.7,209,0.1867739052725648,0.002412949000017761,0.9186602870813397,0.9185518673872711,0.14542204890730362,1.4042848716483056,1.2477676167627783
mod30,deterministic,-1,0.75,224,0.20017873100983022,0.0025846219999721143,0.9196428571428571,0.9189151978739771,0.1495276394740202,1.3912404335605582,1.2568556039032703
mod30,deterministic,-1,0.7999999999999999,239,0.21358355674709562,0.002544871000054627,0.9163179916317992,0.916239134542706,0.14041227784819826,1.4234352738852307,1.2659435910437624
mod30,deterministic,-1,0.85,254,0.22698838248436104,0.0025872199998957512,0.9094488188976378,0.9086285840596185,0.1323735337372373,1.395881210257398,1.2262191342856485
mod30,deterministic,-1,0.9,269,0.24039320822162646,0.0032003239999767175,0.9070631970260223,0.9049245403138224,0.11036141536355812,1.4038423359702124,1.2477676167627783
mod30,deterministic,-1,0.95,284,0.2537980339588919,0.003658265999888499,0.9084507042253521,0.9071297647102832,0.10475902780400007,1.3916902017255046,1.2284868443670198
mod30,deterministic,-1,1.0,298,0.26630920464700625,0.003336768999929518,0.9060402684563759,0.9031874039938557,0.09511728472809494,1.3942796218388789,1.2382444230860443
confidence_adaptive,adaptive_low_confidence,-1,0.05,15,0.013404825737265416,0.0024653009999155984,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783
confidence_adaptive,adaptive_low_confidence,-1,0.1,30,0.02680965147453083,0.0023257509999439208,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397
confidence_adaptive,adaptive_low_confidence,-1,0.15,45,0.040214477211796246,0.002139172000056533,0.7777777777777778,0.7879273504273504,0.2989574024426571,0.8136158020642607,0.5311048349562093
confidence_adaptive,adaptive_low_confidence,-1,0.2,60,0.05361930294906166,0.0020341780000308063,0.7333333333333333,0.7577380952380952,0.4545129579982127,0.6279403292279719,0.08314113503727871
confidence_adaptive,adaptive_low_confidence,-1,0.25,75,0.06702412868632708,0.001965154000004077,0.6533333333333333,0.6851773226773227,0.49451295799821277,0.5214521372675093,0.09354124511130268
confidence_adaptive,adaptive_low_confidence,-1,0.3,90,0.08042895442359249,0.0018901209999739876,0.5666666666666667,0.5973332733443028,0.5211796246648794,0.4550538285709395,0.10655755508450757
confidence_adaptive,adaptive_low_confidence,-1,0.35,105,0.0938337801608579,0.0018205310000212194,0.5142857142857142,0.5524823460678724,0.4830843865696413,0.408512907441653,0.12166141706640188
confidence_adaptive,adaptive_low_confidence,-1,0.39999999999999997,120,0.10723860589812333,0.002204267000024629,0.49166666666666664,0.5342105263157895,0.43784629133154607,0.37360721659468793,0.12926738066593346
confidence_adaptive,adaptive_low_confidence,-1,0.44999999999999996,135,0.12064343163538874,0.0019351189999952112,0.4740740740740741,0.5051008442776735,0.37303147651673124,0.3471601194626598,0.12926738066593346
confidence_adaptive,adaptive_low_confidence,-1,0.49999999999999994,149,0.13315460232350312,0.001891652000040267,0.4697986577181208,0.4950478443125502,0.32968074323311203,0.33128641612136955,0.12926738066593346
confidence_adaptive,adaptive_low_confidence,-1,0.5499999999999999,164,0.14655942806076855,0.002043638000031933,0.4817073170731707,0.5071566731141199,0.29841539702260295,0.32148527480279365,0.12926738066593346
confidence_adaptive,adaptive_low_confidence,-1,0.6,179,0.15996425379803395,0.0018696880000561578,0.5027932960893855,0.5307782248571722,0.27239005297027974,0.31614388778260516,0.12926738066593346
confidence_adaptive,adaptive_low_confidence,-1,0.65,194,0.17336907953529937,0.0018728599999349171,0.5257731958762887,0.5494417133761396,0.24007996830749107,0.31346580795140055,0.131595865921664
