wheel,n_queries_eval,query_fraction,det_bal_acc,det_accuracy,det_eval_time,det_class_balance_l1,random_bal_acc_mean,random_bal_acc_std,random_acc_mean,random_acc_std,random_eval_time_mean,random_eval_time_std,random_class_balance_l1_mean,random_class_balance_l1_std,delta_bal_acc_vs_random_mean,delta_acc_vs_random_mean,delta_eval_time_vs_random_mean,delta_class_balance_l1_vs_random_mean
mod30,298,0.26630920464700625,0.9031874039938557,0.9060402684563759,0.0007915579999462352,0.09511728472809494,0.8853846516690148,0.015404162262608344,0.8870246085011185,0.015373561736553389,0.0009681192666979162,0.0003303773243131196,0.07381490744572594,0.027558886794508013,0.017802752324840854,0.019015659955257336,-0.00017656126675168096,0.021302377282369
mod210,256,0.2287756925826631,0.9157271740605074,0.91796875,0.0010392079998382542,0.1037687109025916,0.8822448402341788,0.016242318429521386,0.883984375,0.01701612989458648,0.0009198905333581328,0.00010367122416202865,0.07427343982722669,0.03662533259475296,0.03348233382632859,0.033984374999999956,0.00011931746648012143,0.029495271075364912
mod2310,233,0.20822162645218945,0.925542844179414,0.927038626609442,0.0011943889999201929,0.07181458000130406,0.8848628112111785,0.01910766909060397,0.8876967095851216,0.018896336992095718,0.0009251002999993337,0.00043743819527206453,0.07760224295911049,0.036455463874057445,0.040680032968235524,0.03934191702432044,0.00026928869992085913,-0.00578766295780643
