label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift
full_readout,none,full,-1,1119,1119,1.0,0.0029911450001236517,0.8856121537086684,0.8833242936990593,0.0
mod30_deterministic,mod30,deterministic,-1,1119,298,0.26630920464700625,0.0007915579999462352,0.9060402684563759,0.9031874039938557,0.09511728472809494
mod30_random_00,mod30,random_matched,0,1119,298,0.26630920464700625,0.0007072660000631004,0.9026845637583892,0.9006058173756832,0.05243176134012267
mod30_random_01,mod30,random_matched,1,1119,298,0.26630920464700625,0.0006306079999376379,0.8624161073825504,0.8648682666172474,0.0900012595138277
mod30_random_02,mod30,random_matched,2,1119,298,0.26630920464700625,0.0005706599999939499,0.9026845637583892,0.9004418641515416,0.05798561755162504
mod30_random_03,mod30,random_matched,3,1119,298,0.26630920464700625,0.0005514140000286716,0.8758389261744967,0.8719944181558182,0.06585458013206905
mod30_random_04,mod30,random_matched,4,1119,298,0.26630920464700625,0.0005728020000788092,0.87248322147651,0.8740087334513648,0.045384481590106246
mod30_random_05,mod30,random_matched,5,1119,298,0.26630920464700625,0.0005703990000256454,0.8825503355704698,0.8804457408115945,0.03751551900966221
mod30_random_06,mod30,random_matched,6,1119,298,0.26630920464700625,0.0005458850000650273,0.8691275167785235,0.8682394243728533,0.06551870977802571
mod30_random_07,mod30,random_matched,7,1119,298,0.26630920464700625,0.0006105150000621506,0.8993288590604027,0.9042055474902322,0.09270021771596165
mod30_random_08,mod30,random_matched,8,1119,298,0.26630920464700625,0.0009884130001864833,0.8825503355704698,0.8803323516660398,0.05093833780160856
mod30_random_09,mod30,random_matched,9,1119,298,0.26630920464700625,0.0009913119999964692,0.889261744966443,0.8869092452538971,0.13147525055328638
mod30_random_10,mod30,random_matched,10,1119,298,0.26630920464700625,0.0010189590000209137,0.8926174496644296,0.8928560206133735,0.047801548602239535
mod30_random_11,mod30,random_matched,11,1119,298,0.26630920464700625,0.0011210440000013477,0.8791946308724832,0.8772404940075633,0.09270021771596165
mod30_random_12,mod30,random_matched,12,1119,298,0.26630920464700625,0.0010274829999161739,0.8825503355704698,0.8746905355277552,0.036309984346042434
mod30_random_13,mod30,random_matched,13,1119,298,0.26630920464700625,0.0012000320000424836,0.8959731543624161,0.8976469583048531,0.09362386118958077
mod30_random_14,mod30,random_matched,14,1119,298,0.26630920464700625,0.0010379220000231726,0.87248322147651,0.869442922107206,0.039008942548176384
mod30_random_15,mod30,random_matched,15,1119,298,0.26630920464700625,0.001005611999971734,0.889261744966443,0.8888409892720858,0.08598880831998848
mod30_random_16,mod30,random_matched,16,1119,298,0.26630920464700625,0.0009817959999054438,0.8959731543624161,0.8892465670752292,0.048137418956282874
mod30_random_17,mod30,random_matched,17,1119,298,0.26630920464700625,0.001171774999875197,0.9060402684563759,0.9039118024062172,0.05764974719758173
mod30_random_18,mod30,random_matched,18,1119,298,0.26630920464700625,0.001012115000094127,0.9093959731543624,0.9110067590289688,0.08135859558210534
mod30_random_19,mod30,random_matched,19,1119,298,0.26630920464700625,0.0009801390001484833,0.8959731543624161,0.8971311385877625,0.0695311609718649
mod30_random_20,mod30,random_matched,20,1119,298,0.26630920464700625,0.0009562330001244845,0.9093959731543624,0.9049759012916908,0.07811984573954445
mod30_random_21,mod30,random_matched,21,1119,298,0.26630920464700625,0.0011031839999304793,0.8926174496644296,0.8865791491250488,0.08642663931722352
