label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod30_progress_0.1,mod30,deterministic_progress,-1,1119,30,0.02680965147453083,0.0018632169999364123,0.9333333333333333,0.9444444444444444,0.1949955317247542,0.1,0.02680965147453083
mod30_random_progress_0.1_00,mod30,random_progress,0,1119,30,0.02680965147453083,0.0006493849998605583,0.8333333333333334,0.8428571428571429,0.18427167113494186,0.1,0.02680965147453083
mod30_random_progress_0.1_01,mod30,random_progress,1,1119,30,0.02680965147453083,0.0006415420000394079,0.8333333333333334,0.8333333333333334,0.2509383378016085,0.1,0.02680965147453083
mod30_random_progress_0.1_02,mod30,random_progress,2,1119,30,0.02680965147453083,0.0012412549999680778,0.9,0.8680555555555556,0.3842716711349419,0.1,0.02680965147453083
mod30_random_progress_0.1_03,mod30,random_progress,3,1119,30,0.02680965147453083,0.0006047430001672183,0.9,0.88125,0.14977658623771226,0.1,0.02680965147453083
mod30_random_progress_0.1_04,mod30,random_progress,4,1119,30,0.02680965147453083,0.0005946799999492214,0.8333333333333334,0.8603896103896105,0.4623771224307417,0.1,0.02680965147453083
mod30_random_progress_0.1_05,mod30,random_progress,5,1119,30,0.02680965147453083,0.0005602759999874252,0.9,0.91875,0.14977658623771226,0.1,0.02680965147453083
mod30_random_progress_0.1_06,mod30,random_progress,6,1119,30,0.02680965147453083,0.0005288769998514908,0.8666666666666667,0.89375,0.14977658623771226,0.1,0.02680965147453083
mod30_random_progress_0.1_07,mod30,random_progress,7,1119,30,0.02680965147453083,0.0005728619998990325,0.9,0.9194444444444444,0.20500446827524574,0.1,0.02680965147453083
mod30_random_progress_0.1_08,mod30,random_progress,8,1119,30,0.02680965147453083,0.0005236450001575577,0.9333333333333333,0.9166666666666666,0.21143878462913307,0.1,0.02680965147453083
mod30_random_progress_0.1_09,mod30,random_progress,9,1119,30,0.02680965147453083,0.00047939800015228684,0.7333333333333333,0.7174603174603175,0.18856121537086687,0.1,0.02680965147453083
mod30_progress_0.2,mod30,deterministic_progress,-1,1119,60,0.05361930294906166,0.0005746399999679852,0.9333333333333333,0.9395833333333333,0.2545129579982127,0.2,0.05361930294906166
mod30_random_progress_0.2_00,mod30,random_progress,0,1119,60,0.05361930294906166,0.0005687329999091162,0.8666666666666667,0.8869969040247678,0.2885612153708669,0.2,0.05361930294906166
mod30_random_progress_0.2_01,mod30,random_progress,1,1119,60,0.05361930294906166,0.0005905400000756345,0.8833333333333333,0.8797619047619049,0.14477211796246642,0.2,0.05361930294906166
mod30_random_progress_0.2_02,mod30,random_progress,2,1119,60,0.05361930294906166,0.0005777129999842145,0.85,0.8483796296296297,0.45451295799821273,0.2,0.05361930294906166
mod30_random_progress_0.2_03,mod30,random_progress,3,1119,60,0.05361930294906166,0.0005267840001579316,0.9,0.8830882352941176,0.21572832886505808,0.2,0.05361930294906166
mod30_random_progress_0.2_04,mod30,random_progress,4,1119,60,0.05361930294906166,0.0006327979999696254,0.8666666666666667,0.8683035714285715,0.1716711349419124,0.2,0.05361930294906166
mod30_random_progress_0.2_05,mod30,random_progress,5,1119,60,0.05361930294906166,0.0006510860000616958,0.85,0.8170265407107511,0.21215370866845393,0.2,0.05361930294906166
mod30_random_progress_0.2_06,mod30,random_progress,6,1119,60,0.05361930294906166,0.0006538589998399402,0.9,0.923125,0.31572832886505814,0.2,0.05361930294906166
mod30_random_progress_0.2_07,mod30,random_progress,7,1119,60,0.05361930294906166,0.000619035999989137,0.95,0.9624999999999999,0.3454870420017873,0.2,0.05361930294906166
mod30_random_progress_0.2_08,mod30,random_progress,8,1119,60,0.05361930294906166,0.0005995439998969232,0.9,0.9052083333333334,0.12117962466487936,0.2,0.05361930294906166
mod30_random_progress_0.2_09,mod30,random_progress,9,1119,60,0.05361930294906166,0.0006190049998622271,0.9166666666666666,0.9126984126984128,0.12189454870420019,0.2,0.05361930294906166
mod30_progress_0.3,mod30,deterministic_progress,-1,1119,90,0.08042895442359249,0.0006197229999997944,0.9,0.9045283663704716,0.2545129579982127,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_00,mod30,random_progress,0,1119,90,0.08042895442359249,0.0006488789999821165,0.8888888888888888,0.8656017369727047,0.20500446827524577,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_01,mod30,random_progress,1,1119,90,0.08042895442359249,0.0006241029998363956,0.8888888888888888,0.8901190476190477,0.08817396484956813,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_02,mod30,random_progress,2,1119,90,0.08042895442359249,0.0006346110001231864,0.9444444444444444,0.9422721674876848,0.11611557938635692,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_03,mod30,random_progress,3,1119,90,0.08042895442359249,0.0006236409999473835,0.8777777777777778,0.8802083333333334,0.1383378016085791,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_04,mod30,random_progress,4,1119,90,0.08042895442359249,0.000599825999870518,0.8444444444444444,0.8436050724637681,0.03795055108728035,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_05,mod30,random_progress,5,1119,90,0.08042895442359249,0.0006075189999137365,0.9111111111111111,0.9188664596273292,0.10032767351802202,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_06,mod30,random_progress,6,1119,90,0.08042895442359249,0.0006065520001357072,0.8666666666666667,0.8664327485380117,0.10682156687518618,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_07,mod30,random_progress,7,1119,90,0.08042895442359249,0.0006230500000583561,0.9333333333333333,0.9359265734265735,0.12117962466487936,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_08,mod30,random_progress,8,1119,90,0.08042895442359249,0.0009927800001605647,0.9,0.8948321891685735,0.12832886505808758,0.30000000000000004,0.08042895442359249
mod30_random_progress_0.3_09,mod30,random_progress,9,1119,90,0.08042895442359249,0.0005101159999867377,0.9111111111111111,0.8945175438596491,0.2673815907059875,0.30000000000000004,0.08042895442359249
mod30_progress_0.4,mod30,deterministic_progress,-1,1119,120,0.10723860589812333,0.000786048000009032,0.9083333333333333,0.9121041921041921,0.17117962466487935,0.4,0.10723860589812333
mod30_random_progress_0.4_00,mod30,random_progress,0,1119,120,0.10723860589812333,0.0007574219998787157,0.9,0.9065013102014999,0.187846291331546,0.4,0.10723860589812333
mod30_random_progress_0.4_01,mod30,random_progress,1,1119,120,0.10723860589812333,0.0008106620000489784,0.875,0.8778399799084198,0.16215370866845397,0.4,0.10723860589812333
mod30_random_progress_0.4_02,mod30,random_progress,2,1119,120,0.10723860589812333,0.0007396539999717788,0.9166666666666666,0.9157571905291594,0.0616621983914209,0.4,0.10723860589812333
mod30_random_progress_0.4_03,mod30,random_progress,3,1119,120,0.10723860589812333,0.0007559250000213069,0.8833333333333333,0.883582796513831,0.07832886505808759,0.4,0.10723860589812333
