schedule_name,schedule_type,trial,rule,accuracy_target_fraction,coverage_target,target_balanced_accuracy,stop_reason,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_lane_coverage_fraction,stop_class_balance_l1_shift,stop_eval_time_seconds,rule_label
random_matched,random_matched,0,accuracy_only,0.95,0.0,0.8391580790141063,reached,209,0.1867739052725648,0.8440802518611586,1.0,0.11925377665465148,0.00207273299974986,accuracy_only
random_matched,random_matched,0,coverage_only,0.95,0.75,0.8391580790141063,reached,75,0.06702412868632708,0.7960858585858586,0.75,0.17215370866845398,0.002850066999599221,coverage_only_75
random_matched,random_matched,0,coverage_only,0.95,1.0,0.8391580790141063,reached,164,0.14655942806076855,0.8294232649071358,1.0,0.14883715861287297,0.0019604280000748986,coverage_only_100
random_matched,random_matched,0,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,209,0.1867739052725648,0.8440802518611586,1.0,0.11925377665465148,0.00207273299974986,joint_acc95_cov75
random_matched,random_matched,0,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,209,0.1867739052725648,0.8440802518611586,1.0,0.11925377665465148,0.00207273299974986,joint_acc95_cov100
random_matched,random_matched,1,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.875,0.25,0.016443252904378924,0.002848653999990347,accuracy_only
random_matched,random_matched,1,coverage_only,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8658263305322129,1.0,0.08427167113494188,0.0018381489999228506,coverage_only_75
random_matched,random_matched,1,coverage_only,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8658263305322129,1.0,0.08427167113494188,0.0018381489999228506,coverage_only_100
random_matched,random_matched,1,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8658263305322129,1.0,0.08427167113494188,0.0018381489999228506,joint_acc95_cov75
random_matched,random_matched,1,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8658263305322129,1.0,0.08427167113494188,0.0018381489999228506,joint_acc95_cov100
random_matched,random_matched,2,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.8690476190476191,0.25,0.41644325290437895,0.002901297999869712,accuracy_only
random_matched,random_matched,2,coverage_only,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8729166666666667,0.75,0.08856121537086686,0.002185635999921942,coverage_only_75
random_matched,random_matched,2,coverage_only,0.95,1.0,0.8391580790141063,reached,179,0.15996425379803395,0.8916646910067962,1.0,0.10425309908587571,0.003511203000016394,coverage_only_100
random_matched,random_matched,2,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8729166666666667,0.75,0.08856121537086686,0.002185635999921942,joint_acc95_cov75
random_matched,random_matched,2,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,179,0.15996425379803395,0.8916646910067962,1.0,0.10425309908587571,0.003511203000016394,joint_acc95_cov100
random_matched,random_matched,3,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9583333333333334,0.5,0.2716711349419124,0.002080880999983492,accuracy_only
random_matched,random_matched,3,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.9097222222222222,0.75,0.14977658623771226,0.0024869629996828735,coverage_only_75
random_matched,random_matched,3,coverage_only,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9345454545454546,1.0,0.17572832886505813,0.002781708000384242,coverage_only_100
random_matched,random_matched,3,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.9097222222222222,0.75,0.14977658623771226,0.0024869629996828735,joint_acc95_cov75
random_matched,random_matched,3,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9345454545454546,1.0,0.17572832886505813,0.002781708000384242,joint_acc95_cov100
random_matched,random_matched,4,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9375,0.25,0.5454870420017873,0.001723374999983207,accuracy_only
random_matched,random_matched,4,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.96875,0.875,0.227226690497468,0.001993451000089408,coverage_only_75
random_matched,random_matched,4,coverage_only,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9223809523809523,1.0,0.16500446827524579,0.0017348920000586077,coverage_only_100
random_matched,random_matched,4,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.96875,0.875,0.227226690497468,0.001993451000089408,joint_acc95_cov75
random_matched,random_matched,4,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9223809523809523,1.0,0.16500446827524579,0.0017348920000586077,joint_acc95_cov100
random_matched,random_matched,5,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9,0.25,0.5283288650580875,0.0016733870002099138,accuracy_only
random_matched,random_matched,5,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.871875,0.875,0.18921656240691093,0.0017823550001594413,coverage_only_75
random_matched,random_matched,5,coverage_only,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8576754385964912,1.0,0.18239499553172475,0.0018017249999502383,coverage_only_100
random_matched,random_matched,5,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.871875,0.875,0.18921656240691093,0.0017823550001594413,joint_acc95_cov75
random_matched,random_matched,5,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.8576754385964912,1.0,0.18239499553172475,0.0018017249999502383,joint_acc95_cov100
random_matched,random_matched,6,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.875,0.25,0.5283288650580875,0.0017154749998553598,accuracy_only
random_matched,random_matched,6,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.875,0.75,0.12832886505808755,0.0016431040003226371,coverage_only_75
random_matched,random_matched,6,coverage_only,0.95,1.0,0.8391580790141063,reached,105,0.0938337801608579,0.8844987228607919,1.0,0.053823566960296276,0.0035180629997739743,coverage_only_100
random_matched,random_matched,6,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.875,0.75,0.12832886505808755,0.0016431040003226371,joint_acc95_cov75
random_matched,random_matched,6,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,105,0.0938337801608579,0.8844987228607919,1.0,0.053823566960296276,0.0035180629997739743,joint_acc95_cov100
random_matched,random_matched,7,accuracy_only,0.95,0.0,0.8391580790141063,reached,30,0.02680965147453083,0.8444444444444444,0.875,0.2164432529043789,0.0016848449999997683,accuracy_only
